congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
116,House,20301,41,3,AL,200,,,"ROGERS, Mike Dennis",R000575,1958,,0.353,0.458,-156.24618,0.77107,601,64,,0.528,0.352
116,House,21102,41,7,AL,100,,,"SEWELL, Terri",S001185,1965,,-0.391,0.402,-24.41307,0.96187,628,10,,-0.396,0.332
116,House,21192,41,2,AL,200,,,"ROBY, Martha",R000591,1976,,0.361,0.655,-86.26239,0.86813,610,30,,0.341,0.658
116,House,21193,41,5,AL,200,,,"BROOKS, Mo",B001274,1954,,0.646,-0.442,-118.12645,0.82828,627,47,,0.778,-0.353
116,House,21376,41,1,AL,200,,,"BYRNE, Bradley",B001289,1955,,0.609,0.244,-97.88236,0.84878,597,37,,0.707,0.144
116,House,21500,41,6,AL,200,,,"PALMER, Gary James",P000609,1954,,0.71,-0.055,-92.11967,0.86417,631,39,,0.663,0.039
116,House,29701,41,4,AL,200,,,"ADERHOLT, Robert",A000055,1965,,0.367,0.595,-97.60692,0.84963,599,35,,0.428,0.712
116,House,14066,81,1,AK,200,,,"YOUNG, Donald Edwin",Y000033,1933,,0.284,0.022,-185.01382,0.73801,609,67,,0.358,0.147
116,House,20305,61,3,AZ,100,,,"GRIJALVA, Raúl M.",G000551,1948,,-0.599,-0.255,-20.2674,0.967,604,8,,-0.573,-0.62
116,House,20902,61,2,AZ,100,,,"KIRKPATRICK, Ann",K000368,1950,,-0.162,-0.006,-38.79361,0.93476,575,17,,-0.365,0.457
116,House,21103,61,4,AZ,200,,,"GOSAR, Paul",G000565,1958,,0.675,-0.415,-107.92988,0.83612,603,43,,0.919,-0.395
116,House,21105,61,6,AZ,200,,,"SCHWEIKERT, David",S001183,1962,,0.592,-0.326,-177.95993,0.75391,630,85,,0.519,-0.317
116,House,21502,61,7,AZ,100,,,"GALLEGO, Ruben",G000574,1979,,-0.451,-0.023,-17.03214,0.9729,620,9,,-0.395,-0.087
116,House,21705,61,5,AZ,200,,,"BIGGS, Andrew S.",B001302,1958,,0.882,-0.471,-86.84615,0.8691,619,28,,0.919,-0.395
116,House,21739,61,1,AZ,100,,,"O'HALLERAN, Thomas C.",O000171,1946,,-0.184,0.155,-33.89396,0.9473,626,12,,-0.335,0.462
116,House,21757,61,8,AZ,200,,,"LESKO, Debbie",L000589,1958,,0.603,-0.041,-90.47035,0.86443,621,41,,0.591,-0.014
116,House,21968,61,9,AZ,100,,,"STANTON, Greg",S001211,1970,,-0.296,-0.125,-15.07122,0.97636,630,5,,-0.299,-0.124
116,House,21106,42,1,AR,200,,,"CRAWFORD, Rick",C001087,1966,,0.408,0.493,-73.5326,0.88035,577,34,,0.5,0.54
116,House,21108,42,3,AR,200,,,"WOMACK, Steve",W000809,1957,,0.353,0.588,-54.85705,0.91686,632,20,,0.369,0.655
116,House,21503,42,2,AR,200,,,"HILL, French",H001072,1956,,0.453,0.229,-76.15482,0.8858,628,27,,0.412,0.365
116,House,21563,42,4,AR,200,,,"WESTERMAN, Bruce Eugene",W000821,1967,,0.549,0.354,-63.14752,0.90331,621,24,,0.542,0.551
116,House,15448,71,12,CA,100,,,"PELOSI, Nancy",P000197,1940,,-0.49,-0.206,-0.45491,0.98869,40,0,,-0.418,0.331
116,House,20104,71,28,CA,100,,,"SCHIFF, Adam",S001150,1960,,-0.349,-0.129,-10.59714,0.98332,630,2,,-0.433,-0.017
